record_id,vehicle_type,vehicle_brand,vehicle_model,vehicle_age,km_driven,last_service_date,previous_repair_history,symptoms,engine_warning_indicator,recent_maintenance,parts_replaced,problem_category,actual_repair_cost,service_date
1,bike,Hero,Passion Pro,4,32256,2 months ago,battery replacement,Self starter clicking sound but engine will not crank battery drained,yes,oil change,battery jump/relay,Starting System,2000,2026-09-17
2,cycle,Atlas,Atlas Motion,5,517,7 months ago,general service,Handlebars misaligned handlebar turned sideways while going straight,no,none,fork alignment / T-stem adjustment,Suspension,50,2026-09-17
3,bike,Suzuki,Access 125,3,58392,6 months ago,none,Drop in fuel mileage running very rich with strong petrol smell from exhaust,no,oil change,carburettor/injector clean,Fuel System,500,2026-09-17
4,bike,Bajaj,Platina 100,10,37671,2 months ago,oil change,Vehicle pulling to left uneven tyre tread wear wheel alignment needed,no,oil change,alignment balancing weight,Tyres/Wheels,500,2026-09-17
5,bike,Suzuki,Gixxer 150,10,50400,11 months ago,general service,Brakes screeching loud metallic grinding noise brake pads worn down,no,filters,brake pads/brake shoes,Brake System,750,2026-09-17
6,car,Renault,Kwid,2,107647,3 months ago,brake pads,Engine knocking and metallic pinging sound under load tappet clearance loose,no,filters,tappet adjustment / oil flush,Engine,3350,2026-09-17
7,car,Toyota,Innova Crysta,10,52862,5 months ago,battery replacement,Handbrake parking brake not holding vehicle on slope loose brake cable,no,brake tune,handbrake cable adjustment,Brake System,450,2026-09-17
8,car,Renault,Kwid,4,16414,4 months ago,battery replacement,Check engine light glowing loss of pickup and engine stuttering at idle,yes,filters,sensor cleaning / OBD scan,Engine,1500,2026-09-17
9,bike,TVS,XL 100 Heavy Duty,8,21726,9 months ago,brake pads,Engine overheating rapidly temperature gauge in red steam from bonnet,yes,none,thermostat / head gasket check,Engine,1900,2026-09-17
10,car,Mahindra,XUV700,4,44262,2 months ago,general service,Vehicle horn switch and pass light switch stuck with dust grime,no,brake tune,switch cleaning / WD40 service,General Maintenance,400,2026-09-17
11,car,Mahindra,XUV300,2,108864,9 months ago,brake pads,Gears slipping hard to shift into gear grinding gear noise,no,greasing,clutch plates / gear oil,Transmission,7100,2026-09-17
12,car,Maruti Suzuki,Ertiga,12,38029,2 months ago,brake pads,Engine knocking and metallic pinging sound under load tappet clearance loose,yes,none,tappet adjustment / oil flush,Engine,4400,2026-09-17
13,cycle,Firefox,Firefox Cyclone,3,4400,11 months ago,brake pads,Headlight beam very dim and indicator flasher blinking too fast,no,greasing,headlight bulb/relay,Battery/Electrical,100,2026-09-17
14,bike,Honda,SP 125,3,73697,8 months ago,none,Periodic periodic general servicing engine oil filter chain and brake tune,no,oil change,engine oil / filters,General Maintenance,1300,2026-09-17
15,car,Renault,Triber,4,23184,2 months ago,oil change,Handbrake parking brake not holding vehicle on slope loose brake cable,no,oil change,handbrake cable adjustment,Brake System,850,2026-09-17
16,car,Kia,Seltos,3,132592,4 months ago,battery replacement,Self starter clicking sound but engine will not crank battery drained,yes,brake tune,battery jump/relay,Starting System,2500,2026-09-18
17,car,Mahindra,XUV700,8,126354,6 months ago,none,Car AC not cooling vents throwing warm air AC gas low compressor cut off,no,greasing,AC gas topup / cabin filter,Battery/Electrical,2050,2026-09-18
18,bike,Royal Enfield,Bullet 350,1,12305,6 months ago,none,Steering wheel and handlebar vibrating heavily at high speed bent rim,no,greasing,rim trueing / wheel balancing,Tyres/Wheels,450,2026-09-18
19,bike,Yamaha,RayZR 125,4,73678,10 months ago,oil change,Self starter clicking sound but engine will not crank battery drained,no,none,battery jump/relay,Starting System,1950,2026-09-18
20,car,Hyundai,i20,2,120997,12 months ago,none,Fuel pipe leaking petrol near fuel pump filter cracked,no,oil change,fuel pipe / fuel filter,Fuel System,750,2026-09-18
21,cycle,Firefox,Firefox Grunge,1,2336,3 months ago,oil change,Vehicle horn completely dead or making weak croaking sound,no,brake tune,horn/horn switch,Battery/Electrical,100,2026-09-18
22,bike,Honda,Activa 6G,8,75132,1 months ago,none,Vehicle horn completely dead or making weak croaking sound,no,brake tune,horn/horn switch,Battery/Electrical,200,2026-09-18
23,cycle,Hercules,Hercules Streetcat,2,3585,7 months ago,brake pads,Low tyre pressure losing air frequently every 2 days valve leaking,no,none,valve pin/air valve,Tyres/Wheels,50,2026-09-18
